Artist Name,Track Name,Popularity,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
Bruno Mars,That's What I Like (feat. Gucci Mane),60.0,0.8540000000000001,0.564,-4.9639999999999995,1,0.0485,0.0171,,0.0849,0.899,134.071,234596.0,4,5
Boston,Hitch a Ride,54.0,0.382,0.8140000000000001,-7.23,1,0.0406,0.0011,0.0040100000000000005,0.10099999999999999,0.569,116.454,251733.0,4,10
The Raincoats,No Side to Fall In,35.0,0.434,0.614,-8.334,1,0.0525,0.486,0.000196,0.39399999999999996,0.787,147.681,109667.0,4,6
Deno,Lingo (feat. J.I & Chunkz),66.0,0.853,0.597,-6.528,0,0.0555,0.0212,,0.122,0.569,107.03299999999999,173968.0,4,5
Red Hot Chili Peppers,Nobody Weird Like Me - Remastered,53.0,0.16699999999999998,0.975,-4.279,1,0.21600000000000003,0.000169,0.0161,0.172,0.0918,199.06,229960.0,4,10
The Stooges,Search and Destroy - Iggy Pop Mix,53.0,0.235,0.977,0.878,1,0.107,0.0035299999999999997,0.00604,0.172,0.24100000000000002,152.952,208133.0,4,6
Solomon Burke,None Of Us Are Free,48.0,0.674,0.6579999999999999,-9.647,0,0.10400000000000001,0.40399999999999997,1.34e-06,0.0981,0.677,143.292,329387.0,4,2
Randy Travis,On the Other Hand,55.0,0.657,0.415,-9.915,1,0.025,0.175,5.65e-06,0.132,0.34700000000000003,96.03,3.105783333,4,4
Professional Murder Music,Slow,29.0,0.431,0.7759999999999999,-5.403,1,0.0527,2.2100000000000002e-05,0.0013,0.179,0.318,120.85700000000001,237867.0,4,8
Dudu Aharon,"דודו, יאללה יאללה",14.0,0.716,0.885,-4.348,0,0.0333,0.0614,,0.253,0.833,128.043,164093.0,4,9
Mohammed Rafi,Meri Dosti Mera Pyar,11.0,0.491,0.563,-8.588,0,0.0331,0.9570000000000001,0.0023,0.263,0.843,95.55799999999999,4.33045,4,3
Arctic Monkeys,The View From The Afternoon,59.0,0.387,0.922,-5.192,0,0.0674,0.00487,,0.187,0.41700000000000004,146.47799999999998,222947.0,4,10
Eyal Golan,קרובה אליי,34.0,0.585,0.381,-7.622000000000001,0,0.0463,0.435,,0.126,0.322,143.876,206875.0,4,9
"Harald Lassen, Bram de Looze",How it feels pt. 2,34.0,0.462,0.374,-12.069,0,0.0331,0.9490000000000001,0.929,0.131,0.174,122.939,4.44025,3,7
Buffalo Springfield,For What It's Worth,76.0,0.653,0.519,-10.164,1,0.0497,0.406,0.0209,0.10099999999999999,0.8220000000000001,98.883,153693.0,4,10
Elmore James,Madison Blues,37.0,0.431,0.852,-6.522,1,0.0431,0.564,0.20800000000000002,0.254,0.794,67.601,146800.0,4,2
Dudu Aharon,לא יכול בלעדייך,14.0,0.713,0.9390000000000001,-3.609,0,0.0372,0.11,5.88e-06,0.331,0.88,108.03399999999999,179320.0,4,9
Velvet Two Stripes,Drinks,31.0,0.564,0.8009999999999999,-4.73,0,0.0473,0.00233,0.0078,0.067,0.401,105.01,154293.0,4,10
Eden Ben Zaken,מנגינה,29.0,0.57,0.45799999999999996,-5.935,0,0.0236,0.502,2.35e-06,0.134,0.19,93.088,217529.0,4,9
DaBaby,Baby Sitter (feat. Offset),70.0,0.852,0.73,-5.803,1,0.0579,0.0219,,0.336,0.39399999999999996,92.506,157693.0,4,5
Mura Masa,Teenage Headache Dreams (with Ellie Rowsell),48.0,0.34700000000000003,0.41100000000000003,-8.071,1,0.0414,0.0181,0.636,0.0975,0.395,171.99099999999999,283013.0,4,6
Clairmont The Second,intres-ting,44.0,0.7959999999999999,0.441,-9.83,1,0.292,0.16,2.8899999999999998e-05,0.11800000000000001,0.371,158.105,137872.0,4,1
Krankhead,Cut Throat,29.0,0.805,0.44799999999999995,-9.452,1,0.11199999999999999,0.0602,1.79e-06,0.113,0.775,160.018,138000.0,4,5
The Stone Roses,Driving South,44.0,0.47200000000000003,0.9470000000000001,-6.127999999999999,1,0.0774,9.43e-06,0.0155,0.364,0.75,98.78399999999999,309867.0,4,10
R3HAB,Whiplash - Acoustic,44.0,0.556,0.188,-12.161,1,0.0316,0.494,,0.11900000000000001,0.184,138.091,145217.0,4,9
"IndianRaga, Akshay Anantapadmanabhan, Madhu Iyer, Sri Poornima Krishna Emani",Swagatham Krishna - Mohanam - Adi,,0.5479999999999999,0.711,-8.44,1,0.107,0.542,9.590000000000001e-05,0.355,0.618,119.675,4.015633333,3,0
MC Hammer,U Can't Touch This,73.0,0.867,0.517,-13.222000000000001,0,0.0875,0.00456,0.000339,0.0864,0.866,133.148,257360.0,4,9
duendita,Open Eyes,35.0,0.341,0.47,-10.144,1,0.037000000000000005,0.226,0.105,0.518,0.203,144.109,204280.0,4,1
Rainbow,Since You Been Gone,66.0,0.733,0.726,-6.513999999999999,1,0.0371,0.379,2.58e-06,0.47100000000000003,0.915,120.814,197160.0,4,8
fijitrip,Private Social Network,30.0,0.696,0.6609999999999999,-5.996,1,0.0877,0.00103,3.21e-05,0.114,0.397,121.03200000000001,180822.0,4,6
Machine Gun Kelly,love race (feat. Kellin Quinn),81.0,0.517,0.848,-4.053999999999999,1,0.0521,0.00581,,0.214,0.429,95.906,188779.0,4,9
ShittyCT,Mahapecha Shel Simcha,4.0,0.43700000000000006,0.948,-4.287,0,0.092,0.000234,,0.0876,0.517,170.023,180293.0,4,6
Tetrarch,Negative Noise,49.0,0.384,0.9740000000000001,-3.647,0,0.141,0.000153,0.00024700000000000004,0.226,0.155,194.842,247370.0,4,8
Dreezy,Where Them $ @,42.0,0.858,0.525,-7.332000000000001,1,0.14800000000000002,0.0443,0.007379999999999999,0.19699999999999998,0.35100000000000003,170.875,193962.0,4,5
The Ayoub Sisters,Mother's Pride,16.0,0.297,0.0958,-20.316,1,0.0384,0.8440000000000001,0.855,0.126,0.29600000000000004,80.672,3.5037833330000003,4,7
Brandon Jack & The Artifacts,four days,29.0,0.516,0.948,-3.9939999999999998,1,0.0644,0.0279,0.0564,0.15,0.9570000000000001,170.08700000000002,130329.0,4,1
Moon Guitar,Struna,47.0,0.32,0.242,-15.17,1,0.0422,0.941,0.93,0.165,0.431,81.09,2.8176333330000003,4,7
Ivri Lider,נסיכה שלי,47.0,0.6609999999999999,0.40700000000000003,-9.283,1,0.0412,0.713,,0.115,0.337,127.87299999999999,216695.0,4,9
Vieux Farka Touré,Bonheur,37.0,0.569,0.7509999999999999,-12.825999999999999,1,0.0418,0.365,0.856,0.0561,0.758,105.156,338292.0,4,2
Kvelertak,Crack of Doom (feat. Troy Sanders),44.0,0.35700000000000004,0.977,-6.489,0,0.124,1.6e-05,0.892,0.105,0.28,159.81,233929.0,4,8
Better Than Ezra,Good,63.0,0.615,0.657,-6.872999999999999,1,0.028999999999999998,0.00037200000000000004,0.0204,0.132,0.792,109.95,185093.0,4,10
Lior Narkis,חלקת אלוהים - השיר של אופיר,44.0,0.479,0.444,-6.497000000000001,1,0.0316,0.857,,0.141,0.23600000000000002,107.915,174242.0,4,9
Silversun Pickups,Lazy Eye,65.0,0.633,0.831,-5.053,1,0.0461,0.0401,0.693,0.11699999999999999,0.243,127.397,354360.0,4,10
Lilly Wood and The Prick,A Song,,0.618,0.43799999999999994,-7.495,1,0.0762,0.40700000000000003,,0.5,0.6509999999999999,155.014,209307.0,4,6
Orange Juice,Rip It Up,55.0,0.8809999999999999,0.546,-9.357000000000001,1,0.0407,0.0532,0.000149,0.0497,0.852,102.814,320413.0,4,6
U2,The Blackout,49.0,0.624,0.528,-9.103,0,0.0344,0.0286,0.0051600000000000005,0.0866,0.33,120.04899999999999,285933.0,4,10
Omer Adam,תגידי לי שטוב לך,37.0,0.607,0.503,-7.406000000000001,1,0.0703,0.446,,0.17300000000000001,0.473,135.606,205040.0,4,9
The Clash,The Magnificent Seven - Remastered,56.0,0.799,0.789,-8.208,1,0.0395,0.0595,,0.0338,0.831,116.083,333520.0,4,10
Victor Manu,Raphaela,47.0,0.494,0.0634,-19.203,1,0.044000000000000004,0.9840000000000001,0.9259999999999999,0.11,0.15,78.227,3.014916667,4,7
The Last Shadow Puppets,Bad Habits,49.0,0.52,0.642,-7.546,1,0.0434,0.000517,0.0017,0.0794,0.449,88.96700000000001,180968.0,4,10
Anne-Marie,Our Song,48.0,0.595,0.759,-4.245,0,0.0423,0.141,,0.172,0.515,80.953,163733.0,4,9
How Lucky,"Kurt Vile, John Prine",,0.523,0.441,-9.927999999999999,1,0.0311,0.465,0.00268,0.365,0.49,171.24599999999998,3.3851166669999997,4,0
Sly & The Family Stone,"I Want To Take You Higher - Live at The Woodstock Music & Art Fair, August 17, 1969",28.0,0.5660000000000001,0.943,-10.359000000000002,1,0.12300000000000001,0.00488,0.34600000000000003,0.728,0.324,117.81299999999999,403027.0,4,10
Veruca Salt,Seether,47.0,0.612,0.86,-9.175,1,0.044000000000000004,0.00253,0.0015300000000000001,0.158,0.687,136.21200000000002,196467.0,4,1
Juice WRLD,Life's A Mess (feat. Halsey),77.0,0.63,0.446,-8.9,1,0.0351,0.337,,0.166,0.177,143.078,202193.0,4,5
BENEE,C U,53.0,0.521,0.532,-11.492,0,0.0357,0.563,0.00043499999999999995,0.386,0.326,95.19,180533.0,4,9
Berry Sakharof,נפתלי הדג,18.0,0.501,0.474,-13.892999999999999,1,0.0299,0.608,0.885,0.147,0.281,102.404,352267.0,4,10
Ganser,Self Service - Adam Faulkner / Girl Band Remix,9.0,0.185,0.865,-10.522,1,0.0576,0.0006320000000000001,0.807,0.11199999999999999,0.0789,84.031,207465.0,3,6
Dion,Blues Comin’ On,34.0,0.532,0.685,-6.577000000000001,0,0.0318,0.0208,0.000154,0.303,0.648,140.036,288071.0,4,2
Nick Cave & The Bad Seeds,Deanna,41.0,0.415,0.94,-4.874,1,0.0889,0.0049,,0.14400000000000002,0.439,134.392,225627.0,4,1
Soen,Lotus,49.0,0.425,0.40299999999999997,-9.343,0,0.0273,0.0792,0.0049,0.113,0.135,155.761,323931.0,4,10
Vani Jairam,Bole Re Papihara,20.0,0.373,0.7070000000000001,-9.566,0,0.0562,0.6679999999999999,3.68e-05,0.361,0.75,89.1,3.5788833330000003,4,3
Liam Gallagher,Once,59.0,0.39,0.6459999999999999,-3.9610000000000003,1,0.0372,0.0904,,0.114,0.271,120.755,213677.0,4,10
The Pretty Things,She's a Lover,38.0,0.439,0.795,-9.424,1,0.0314,0.004070000000000001,0.00114,0.29600000000000004,0.789,84.846,212067.0,4,6
Tha Dogg Pound,"New York, New York",56.0,0.8270000000000001,0.532,-4.775,1,0.302,0.0219,2.9100000000000003e-05,0.127,0.6940000000000001,87.257,290440.0,4,5
BLAB,Casual Sex,26.0,0.7090000000000001,0.685,-7.5729999999999995,1,0.0281,0.0355,0.0268,0.0389,0.7,129.987,194567.0,4,1
Mighty Sam McClain,When the Hurt Is Over,41.0,0.583,0.14300000000000002,-15.786,1,0.14800000000000002,0.6759999999999999,2.84e-05,0.11699999999999999,0.5329999999999999,156.009,371496.0,3,2
Trillary Banks,Last Man Standing,35.0,0.7040000000000001,0.579,-9.331,1,0.418,0.287,,0.139,0.7120000000000001,142.815,176667.0,4,5
El Goodo,Feel so Fine,30.0,0.247,0.88,-3.057,1,0.09699999999999999,2.01e-05,0.309,0.122,0.33299999999999996,134.445,237493.0,4,10
Keb' Mo',The Medicine Man [Feat. Old Crow Medicine Show],54.0,0.8009999999999999,0.637,-6.406000000000001,1,0.0565,0.16899999999999998,3.75e-05,0.0925,0.769,77.012,218360.0,4,2
Why Bonnie,Athlete,24.0,0.539,0.578,-8.522,1,0.0278,0.0987,0.000923,0.28,0.353,102.03,191890.0,4,10
Snoop Dogg,Beautiful,63.0,0.907,0.695,-6.268,0,0.135,0.24600000000000002,,0.0808,0.961,101.007,298307.0,4,5
MOD SUN,Stay Away (feat. Machine Gun Kelly & Goody Grace),68.0,0.667,0.636,-5.669,1,0.08199999999999999,0.022000000000000002,,0.0908,0.152,158.058,151891.0,4,10
Turbo Knight,Rasengan,43.0,0.436,0.9440000000000001,-7.981,1,0.0398,0.0035,0.972,0.105,0.588,110.00200000000001,307545.0,4,6
The Black Crowes,Sometimes Salvation,41.0,0.366,0.662,-4.914,1,0.034,0.0026100000000000003,,0.0594,0.36200000000000004,148.34,284000.0,3,10
"Britney Spears, will.i.am",Big Fat Bass (feat. will.i.am),41.0,0.777,0.71,-4.717,1,0.0919,0.0295,,0.192,0.6729999999999999,129.945,4.747333333,4,9
Radiohead,Burn the Witch,57.0,0.54,0.847,-6.52,1,0.0297,0.303,0.272,0.109,0.62,148.936,220609.0,4,10
Oceans,Shark Tooth,42.0,0.435,0.889,-6.462000000000001,0,0.0474,2.3800000000000003e-05,0.000872,0.87,0.344,93.896,198345.0,4,8
Arctic Monkeys,R U Mine?,79.0,0.28800000000000003,0.758,-5.692,0,0.0371,0.0061600000000000005,,0.303,0.619,97.094,201726.0,4,10
The Stranglers,Golden Brown,71.0,0.562,0.38299999999999995,-15.474,1,0.0304,0.14300000000000002,0.124,0.138,0.599,93.764,206760.0,3,10
Itay Levi,השקט של שבת,33.0,0.6829999999999999,0.34700000000000003,-10.392000000000001,1,0.0473,0.5489999999999999,,0.0907,0.43700000000000006,80.009,157630.0,4,9
Joe Bonamassa,Cradle Rock,44.0,0.41100000000000003,0.91,-4.867,1,0.0392,0.00024300000000000002,0.00082,0.0931,0.613,106.675,230027.0,4,10
LeRoi Thirteen,Stand up and Shout (Cover),41.0,0.49,0.9740000000000001,-4.295,1,0.115,0.000546,0.225,0.336,0.257,108.946,229617.0,4,8
Us The Duo,drivers license,55.0,0.374,0.35,-11.48,1,0.17600000000000002,0.843,,0.188,0.129,74.464,3.81156667,1,0
Keller Williams,Right Here,43.0,0.633,0.19399999999999998,-14.543,1,0.0729,0.885,0.40399999999999997,0.111,0.42100000000000004,143.376,348383.0,4,2
Primal Scream,Movin' on Up,63.0,0.523,0.76,-12.437000000000001,1,0.0325,0.10300000000000001,0.0006799999999999999,0.0666,0.581,94.26700000000001,228267.0,4,10
Lil Son Jackson,Upstairs Boogie,35.0,0.593,0.43799999999999994,-13.450999999999999,0,0.027999999999999997,0.883,0.0167,0.317,0.758,130.225,136560.0,3,2
Drake,Passionfruit,81.0,0.809,0.46299999999999997,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,4.98235,4,9
Abstract Orchestra,New Day,45.0,0.748,0.41100000000000003,-6.06,0,0.0489,0.0532,0.0117,0.115,0.33899999999999997,91.941,145052.0,4,5
Luther Allison,Soul Fixin' Man,13.0,0.529,0.595,-13.696,1,0.0375,0.0227,0.0266,0.0326,0.767,134.642,187827.0,4,2
Elena Falwell,Elegi For Cello,41.0,0.16699999999999998,0.14800000000000002,-19.539,1,0.0347,0.955,0.897,0.111,0.04,76.41199999999999,2.7204,3,7
Sharon Van Etten,Comeback Kid,51.0,0.5429999999999999,0.927,-5.209,1,0.0755,0.000342,0.5429999999999999,0.0327,0.354,120.09700000000001,182333.0,4,10
beabadoobee,"Don’t You (Forget About Me) - live from Abbey Road Studios, London",41.0,0.644,0.8909999999999999,-5.147,1,0.0526,0.0011099999999999999,0.00798,0.11800000000000001,0.504,110.007,239488.0,4,10
R.E.M.,Drive,62.0,0.467,0.43200000000000005,-11.753,1,0.0283,0.175,0.001,0.226,0.23800000000000002,142.642,271333.0,4,10
FCG Heem,Shinin,44.0,0.514,0.387,-11.51,0,0.409,0.0753,,0.0485,0.461,84.11200000000001,186812.0,4,5
The Beatles,She's Leaving Home - Remastered,,0.381,0.214,-11.629000000000001,1,0.0337,0.9440000000000001,,0.106,0.39299999999999996,127.581,3.5860000000000003,3,0
Tom The Mail Man,Taking Over,60.0,0.762,0.516,-8.016,0,0.0969,0.0288,,0.0966,0.721,156.97,158000.0,4,5
ANSON,Ghost,28.0,0.35700000000000004,0.943,-6.167999999999999,0,0.10099999999999999,0.000547,,0.145,0.48200000000000004,147.217,209682.0,4,10
Jimmy Eat World,All The Way (Stay),38.0,0.5760000000000001,0.9309999999999999,-2.491,1,0.0563,0.00085,,0.14300000000000002,0.735,133.986,245747.0,4,10
dempsey hope,picture perfect,3.0,0.61,0.48200000000000004,-9.137,1,0.13699999999999998,0.299,,0.0527,0.8690000000000001,73.628,147013.0,4,9
Howie Lee,Birdy Island,24.0,0.491,0.504,-13.581,0,0.0566,0.625,0.794,0.222,0.145,159.911,258771.0,4,6
Pit Pony,Dutch Courage,25.0,0.11699999999999999,0.9159999999999999,-3.281,1,0.0723,1.39e-05,0.0992,0.21899999999999997,0.423,151.886,270205.0,4,1
Niko B,Who's That What's That,63.0,0.86,0.6679999999999999,-8.512,1,0.221,0.423,1.85e-06,0.096,0.237,128.096,240000.0,4,9
Ruthi Navon,חשמל בכפות ידיך,22.0,0.7659999999999999,0.526,-11.819,1,0.0392,0.784,0.00021400000000000002,0.0879,0.934,141.631,238000.0,4,10
Dan + Shay,Good Things,71.0,0.529,0.621,-6.018,1,0.0296,0.13,,0.17300000000000001,0.617,97.189,2.48178333,4,9
Gossip,Standing In the Way of Control,55.0,0.6970000000000001,0.919,-6.1739999999999995,1,0.028999999999999998,0.006940000000000001,0.0621,0.203,0.943,118.34100000000001,256400.0,4,6
Gone Is Gone,Breaks,28.0,0.40700000000000003,0.932,-6.252000000000001,1,0.113,0.0036299999999999995,0.34600000000000003,0.22899999999999998,0.17300000000000001,102.954,235214.0,4,8
Violent Soho,Covered in Chrome,55.0,0.564,0.753,-5.223,1,0.0433,0.00512,2.43e-06,0.16699999999999998,0.414,152.064,212547.0,4,10
Mr. Oizo,Positif,44.0,0.7440000000000001,0.9279999999999999,-5.627999999999999,0,0.0495,0.00040899999999999997,0.624,0.132,0.507,123.014,171120.0,4,6
