Artist Name,Track Name,Popularity,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Genre_name
Bruno Mars,That's What I Like (feat. Gucci Mane),60.0,0.8540000000000001,0.564,-4.964,1,0.0485,0.0171,,0.0849,0.899,134.071,234596.0,4,HipHop
Boston,Hitch a Ride,54.0,0.382,0.8140000000000001,-7.23,1,0.0406,0.0011,0.0040100000000000005,0.101,0.569,116.454,251733.0,4,Rock
The Raincoats,No Side to Fall In,35.0,0.434,0.614,-8.334,1,0.0525,0.486,0.000196,0.394,0.787,147.681,109667.0,4,Indie
Deno,Lingo (feat. J.I & Chunkz),66.0,0.853,0.597,-6.528,0,0.0555,0.0212,,0.122,0.569,107.033,173968.0,4,HipHop
Red Hot Chili Peppers,Nobody Weird Like Me - Remastered,53.0,0.16699999999999998,0.975,-4.279,1,0.21600000000000005,0.000169,0.0161,0.172,0.0918,199.06,229960.0,4,Rock
The Stooges,Search and Destroy - Iggy Pop Mix,53.0,0.235,0.977,0.878,1,0.107,0.00353,0.00604,0.172,0.241,152.952,208133.0,4,Indie
Solomon Burke,None Of Us Are Free,48.0,0.674,0.6579999999999999,-9.647,0,0.104,0.404,1.34e-06,0.0981,0.677,143.292,329387.0,4,Blues
Randy Travis,On the Other Hand,55.0,0.657,0.415,-9.915,1,0.025,0.175,5.65e-06,0.132,0.34700000000000003,96.03,3.105783333,4,Country
Professional Murder Music,Slow,29.0,0.431,0.7759999999999999,-5.403,1,0.0527,2.21e-05,0.0013,0.179,0.318,120.857,237867.0,4,Metal
Dudu Aharon,"דודו, יאללה יאללה",14.0,0.716,0.885,-4.348,0,0.0333,0.0614,,0.253,0.833,128.043,164093.0,4,Pop
Mohammed Rafi,Meri Dosti Mera Pyar,11.0,0.491,0.563,-8.588,0,0.0331,0.957,0.0023,0.263,0.843,95.558,4.33045,4,Bollywood
